import time: self [us] | cumulative | imported package
import time:       561 |       1901 |                         pandas.core.indexers.objects
import time:       302 |        302 |                         pandas.core.util.numba_
import time:       373 |        373 |                         pandas.core.window.common
import time:       327 |        327 |                         pandas.core.window.doc
import time:       330 |        330 |                         pandas.core.window.numba_
import time:       348 |        348 |                         pandas.core.window.online
import time:       284 |        284 |                           pandas.core._numba
import time:       372 |        372 |                           pandas.core._numba.executor
import time:      1964 |       2620 |                         pandas.core.window.rolling
import time:      1032 |       9890 |                       pandas.core.window.ewm
import time:      1212 |       1212 |                       pandas.core.window.expanding
import time:       378 |      11479 |                     pandas.core.window
import time:      6725 |      49842 |                   pandas.core.generic
import time:       404 |        404 |                     pandas.core.reshape.util
import time:       264 |        264 |                     pandas.core.tools.numeric
import time:       698 |       1364 |                   pandas.core.reshape.melt
import time:      1939 |       1939 |                     pandas._libs.reshape
import time:       709 |        709 |                     pandas.core.indexes.accessors
import time:      2466 |       2466 |                       pandas._libs.tslibs.strptime
import time:       355 |        355 |                       pandas.arrays
import time:      1041 |       3860 |                     pandas.core.tools.datetimes
import time:      1273 |       1273 |                     pandas.io.formats.info
import time:      1564 |       1564 |                       pandas.plotting._core
import time:       512 |        512 |                       pandas.plotting._misc
import time:       507 |       2582 |                     pandas.plotting
import time:     11702 |      22063 |                   pandas.core.series
import time:      8366 |      81634 |                 pandas.core.frame
import time:      1305 |       1305 |                 pandas.core.groupby.base
import time:       121 |        121 |                     backports_abc
import time:      3689 |       3810 |                   pandas._libs.groupby
import time:       335 |        335 |                   pandas.core.groupby.numba_
import time:       238 |        238 |                       pandas.core.groupby.categorical
import time:       499 |        737 |                     pandas.core.groupby.grouper
import time:       692 |       1428 |                   pandas.core.groupby.ops
import time:       428 |        428 |                   pandas.core.groupby.indexing
import time:      2434 |       8433 |                 pandas.core.groupby.groupby
import time:      2213 |      95346 |               pandas.core.groupby.generic
import time:       344 |      95689 |             pandas.core.groupby
import time:       475 |     225107 |           pandas.core.api
import time:       312 |        312 |           pandas.tseries.api
import time:       209 |        209 |                   pandas.core.computation.common
import time:       304 |        513 |                 pandas.core.computation.align
import time:       545 |        545 |                     pprint
import time:       333 |        333 |                     pandas.compat.chainmap
import time:       400 |       1277 |                   pandas.core.computation.scope
import time:       565 |       1841 |                 pandas.core.computation.ops
import time:       463 |       2816 |               pandas.core.computation.engines
import time:       376 |        376 |                 pandas.core.computation.parsing
import time:      1128 |       1504 |               pandas.core.computation.expr
import time:       477 |       4797 |             pandas.core.computation.eval
import time:       260 |       5056 |           pandas.core.computation.api
import time:       290 |        290 |             pandas.core.reshape.encoding
import time:       981 |        981 |             pandas.core.reshape.merge
import time:      1077 |       1077 |             pandas.core.reshape.pivot
import time:       385 |        385 |             pandas.core.reshape.tile
import time:       324 |       3055 |           pandas.core.reshape.api
import time:       515 |        515 |             pandas.api.extensions
import time:       232 |        232 |             pandas.api.indexers
import time:       218 |        218 |                 pandas.core.interchange
import time:      1483 |       1701 |               pandas.core.interchange.dataframe_protocol
import time:       337 |        337 |                     pandas.core.dtypes.api
import time:       237 |        574 |                   pandas.api.types
import time:       237 |        237 |                   pandas.core.interchange.buffer
import time:       278 |        278 |                   pandas.core.interchange.utils
import time:       320 |       1407 |                 pandas.core.interchange.column
import time:       379 |       1785 |               pandas.core.interchange.from_dataframe
import time:       208 |       3694 |             pandas.api.interchange
import time:       289 |       4728 |           pandas.api
import time:       373 |        373 |                 pandas._testing._random
import time:       317 |        317 |                   tempfile
import time:       334 |        651 |                 pandas._testing.contexts
import time:       658 |       1681 |               pandas._testing._io
import time:       400 |        400 |               pandas._testing._warnings
import time:       734 |        734 |                   cmath
import time:      1621 |       2355 |                 pandas._libs.testing
import time:       596 |       2951 |               pandas._testing.asserters
import time:       314 |        314 |               pandas._testing.compat
import time:      2019 |       7364 |             pandas._testing
import time:       272 |       7635 |           pandas.testing
import time:       350 |        350 |           pandas.util._print_versions
import time:       273 |        273 |             pandas.io.clipboards
import time:        91 |         91 |                   backports_abc
import time:      2491 |       2581 |                 pandas._libs.parsers
import time:       463 |        463 |                 pandas.io.excel._util
import time:       266 |        266 |                         pandas.io.date_converters
import time:       577 |        843 |                       pandas.io.parsers.base_parser
import time:       323 |       1165 |                     pandas.io.parsers.arrow_parser_wrapper
import time:       547 |        547 |                     pandas.io.parsers.c_parser_wrapper
import time:       603 |        603 |                     pandas.io.parsers.python_parser
import time:      2462 |       4775 |                   pandas.io.parsers.readers
import time:       381 |       5156 |                 pandas.io.parsers
import time:       470 |        470 |                 pandas.io.excel._odfreader
import time:       516 |        516 |                 pandas.io.excel._openpyxl
import time:       322 |        322 |                 pandas.io.excel._pyxlsb
import time:       292 |        292 |                 pandas.io.excel._xlrd
import time:      2003 |      11801 |               pandas.io.excel._base
import time:      1483 |       1483 |                 pandas._libs.json
import time:       345 |       1828 |               pandas.io.excel._odswriter
import time:       438 |        438 |               pandas.io.excel._xlsxwriter
import time:       308 |        308 |               pandas.io.excel._xlwt
import time:       374 |      14747 |             pandas.io.excel
import time:       342 |        342 |             pandas.io.feather_format
